Domain name,Registered date,Days ago
google.com,1997-09-15,8282
facebook.com,1997-03-29,8452
doubleclick.net,1996-01-16,8890
google-analytics.com,2005-07-18,5419
akamaihd.net,2009-09-14,3900
googlesyndication.com,2003-01-21,6328
googleapis.com,2005-01-25,5593
googleadservices.com,2003-06-19,6179
facebook.net,2004-04-01,5892
youtube.com,2005-02-15,5572
twitter.com,2000-01-21,7424
scorecardresearch.com,2007-11-01,4583
microsoft.com,1991-05-02,10610
ytimg.com,2007-12-12,4542
googleusercontent.com,2008-11-17,4201
apple.com,1987-02-19,12143
msftncsi.com,2005-11-11,5303
2mdn.net,2005-05-02,5496
googletagservices.com,2008-12-17,4171
adnxs.com,2008-05-27,4375
yahoo.com,1995-01-18,9253
serving-sys.com,2003-04-16,6243
akadns.net,1999-05-13,7677
bluekai.com,2007-07-06,4701
ggpht.com,2008-01-16,4507
rubiconproject.com,2007-05-02,4766
verisign.com,1995-06-02,9118
addthis.com,1998-05-26,8029
crashlytics.com,2011-01-21,3406
amazonaws.com,2005-08-18,5388
